observation_date,GBRPPDMMINMEI
1988-04-01,54.98044707776700
1988-05-01,55.21540449094030
1988-06-01,55.29372944449460
1988-07-01,55.60700308747750
1988-08-01,55.68532804103180
1988-09-01,55.76364427084130
1988-10-01,55.92028545420510
1988-11-01,55.99860247708230
1988-12-01,56.15524366044610
1989-01-01,56.70348344034710
1989-02-01,56.86012462371090
1989-03-01,57.17339826669370
1989-04-01,57.48668063342140
1989-05-01,57.87828002302620
1989-06-01,57.95659625283580
1989-07-01,58.03491248264520
1989-08-01,58.19155366600910
1989-09-01,58.58315226254620
1989-10-01,58.89643462927390
1989-11-01,58.89643462927390
1989-12-01,59.13139283551490
1990-01-01,59.75794884522530
1990-02-01,59.91459002858920
1990-03-01,60.30618862512630
1990-04-01,61.08938661126830
1990-05-01,61.40266897799600
1990-06-01,61.48098520780550
1990-07-01,61.48098520780550
1990-08-01,62.02922498770640
1990-09-01,62.65578179048460
1990-10-01,63.12569661683120
1990-11-01,63.04738038702170
1990-12-01,62.96905543346740
1991-01-01,63.67393718979990
1991-02-01,63.75546534385050
1991-03-01,64.00005139213749
1991-04-01,64.81533927718471
1991-05-01,65.14145427259000
1991-06-01,65.05992532547170
1991-07-01,65.22298242664050
1991-08-01,65.22298242664050
1991-09-01,65.30451137375880
1991-10-01,65.46756847492760
1991-11-01,65.63062636916410
1991-12-01,65.46756847492760
1992-01-01,65.79368347033289
1992-02-01,66.03827031168760
1992-03-01,66.52744240826181
1992-04-01,66.85355740366710
1992-05-01,67.01661450483590
1992-06-01,67.09814345195410
1992-07-01,67.09814345195410
1992-08-01,67.01661450483590
1992-09-01,67.01661450483590
1992-10-01,67.34272950024121
1992-11-01,67.58731554852820
1992-12-01,67.66884449564650
1993-01-01,68.07648843817010
1993-02-01,68.48413158762590
1993-03-01,68.97330447726770
1993-04-01,69.54400552096010
1993-05-01,69.70706262212890
1993-06-01,69.78859156924720
1993-07-01,69.87012051636540
1993-08-01,69.95164867041601
1993-09-01,69.95164867041601
1993-10-01,70.03317761753419
1993-11-01,70.03317761753419
1993-12-01,70.44082156005780
1994-01-01,70.60387866122660
1994-02-01,70.68540760834480
1994-03-01,70.76693655546310
1994-04-01,71.01152260375019
1994-05-01,71.25610865203720
1994-06-01,71.25610865203720
1994-07-01,71.33763759915550
1994-08-01,71.50069470032430
1994-09-01,71.58222364744250
1994-10-01,71.66375259456080
1994-11-01,71.82680969572959
1994-12-01,72.23445363825320
1995-01-01,73.13126967735080
1995-02-01,73.29432677851960
1995-03-01,73.53891282680669
1995-04-01,73.86502782221200
1995-05-01,74.10961387049910
