,date,gdp_pct_change,int_3m,cons_conf,unm_rate,ppi_diff,infl_rate_diff
382,2017-12-01,1.6302898570186963,0.51871,100.5159,4.3,0.2999750020830021,-8.233705496800154e-06
385,2018-03-01,0.2597427112533079,0.6284199999999999,100.1424,4.2,0.1999833347230009,-0.0019211735031314998
388,2018-06-01,0.8615576948059811,0.63868,99.77225,4.0,0.499958336806003,-0.0037914691943128
391,2018-09-01,0.8396380857446317,0.80093,98.83292,4.1,0.49995833680500823,-0.004726755243453101
394,2018-12-01,0.9359409853666678,0.90444,97.88238,3.9,-0.5999500041660042,-3.506855464300001e-06
397,2019-03-01,0.6967305565591442,0.8399999999999999,97.65024,3.8,0.19998333472199192,-0.0018867393202104997
400,2019-06-01,1.2829198994645408,0.78,97.6971,3.9,-0.19998333472199192,-0.0027881040892194
403,2019-09-01,1.2398759944183046,0.77,97.60423,3.8,-0.09999166736099596,-0.0018544167436133998
406,2019-12-01,0.4900541564017091,0.79,98.09505,3.9,0.0,-0.0018467220683286
409,2020-03-01,-1.7440319005652571,0.53,95.78288,4.1,-0.499958336804994,-0.002770083102493
412,2020-06-01,-14.342919745057936,0.19,94.93774,4.4,0.499958336804994,0.0018416206261511
415,2020-09-01,12.10643481182796,0.06,98.39915,5.2,-0.09999166736101017,0.0073394742512389
418,2020-12-01,0.7161777874358899,0.03,98.99805,5.2,0.39996666944399806,0.0036655217681801
421,2021-03-01,0.0675186792379101,0.08,100.5064,4.8,0.39996666944399806,0.0018273172640922001
424,2021-06-01,5.674619696947159,0.08,101.981,4.6,0.7999333388879961,-0.0018311790050920002
427,2021-09-01,2.336589149741175,0.07,101.9255,4.3,0.7999333388879961,-0.0036074804971834994
430,2021-12-01,2.6257938656422786,0.16,100.8204,4.1,0.59995000416599,-0.0009142943703268997
433,2022-03-01,2.2214704177985656,0.99,98.32189,3.8,3.7996833597199924,0.002551259599359799
436,2022-06-01,2.477447218462969,1.57,96.14956,3.6,2.8997583534710145,0.0008010221632512998
439,2022-09-01,1.7724356360927065,2.91,95.21352,3.8,0.0,-0.0008454047375181005
442,2022-12-01,2.750595786996524,3.78,95.9605,3.9,-1.1999000083320084,-1.611589000959958e-05
445,2023-03-01,1.9938476780488656,4.33,97.46243,3.9,0.0,-0.0032661782661782
448,2023-06-01,1.8482902940025747,5.09,98.72479,4.3,0.0,-0.0039116057990052
451,2023-09-01,0.8245110261055899,5.52,99.62029,4.0,0.0,0.0023088074955366997
454,2023-12-01,0.1042282511112491,5.22,100.2583,4.1,0.0,0.0053822521564454995
457,2024-03-01,1.9031744851250252,5.2,100.7539,4.4,0.0,-3.763820277600041e-05
460,2024-06-01,1.2354035489410498,5.16,101.3372,4.2,0.0,-0.0015214097522990998
463,2024-09-01,1.364934912564153,4.84,101.4537,4.3,0.0,-0.003012602051119
466,2024-12-01,1.0647213944154688,4.64,101.1232,4.4,0.0,0.0014809053382296
