date,infl_rate,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
2012-01-01,0.0027241960540966836,200.7,1.4300107074376234,0.4,98.52432,8.3
2012-02-01,0.002137446124946152,201.6,1.4300107074376234,0.3,98.78316,8.3
2012-03-01,0.002093470387029228,204.2,1.4300107074376234,0.29,98.9079,8.2
2012-04-01,0.0016607883500068255,203.7,0.8607360659364405,0.29,98.94286,8.2
2012-05-01,-0.002068180132381081,201.9,0.8607360659364405,0.29,98.8867,8.2
2012-06-01,-0.0008263631713106845,199.8,0.8607360659364405,0.32,98.68109,8.2
2012-07-01,0.0002888099280600187,200.1,0.6936829904643727,0.3,98.60864,8.2
2012-08-01,0.00580952797585188,202.7,0.6936829904643727,0.26,98.77948,8.1
2012-09-01,0.004771266277542319,204.4,0.6936829904643727,0.24,99.09757,7.8
2012-10-01,0.0026967945804385884,203.5,0.6181423852545942,0.23,99.32568,7.8
2012-11-01,-0.0016793444944266378,201.8,0.6181423852545942,0.23,99.23881,7.7
2012-12-01,-0.00012108160467716456,201.5,0.6181423852545942,0.24,98.90295,7.9
2013-01-01,0.001980788942180789,202.5,1.3871144213798425,0.23,98.77381,8.0
2013-02-01,0.005429926752100966,204.3,1.3871144213798425,0.22,98.8774,7.7
2013-03-01,-0.0028119191025899326,204.0,1.3871144213798425,0.21,99.04517,7.5
2013-04-01,-0.002087979266581219,203.5,0.48352406378857626,0.2,99.25853,7.6
2013-05-01,0.00041415548950163306,204.1,0.48352406378857626,0.2,99.59885,7.5
2013-06-01,0.002380408205508555,204.3,0.48352406378857626,0.19,99.7748,7.5
2013-07-01,0.001957452300544338,204.4,1.3458976188627236,0.14,99.73689,7.3
2013-08-01,0.0023872906826962748,204.2,1.3458976188627236,0.12,99.45435,7.2
2013-09-01,0.00037694469193350066,203.9,1.3458976188627236,0.11,99.07097,7.2
2013-10-01,0.000535231048539142,202.5,1.4048795322923358,0.12,98.83395,7.2
2013-11-01,0.0018444894273523804,201.2,1.4048795322923358,0.12,98.93504,6.9
2013-12-01,0.0026441691584793148,202.0,1.4048795322923358,0.14,99.24061,6.7
2014-01-01,0.0024241752904536895,203.8,0.03326543554891259,0.12,99.41454,6.6
2014-02-01,0.0011007786202441583,205.7,0.03326543554891259,0.13,99.48507,6.7
2014-03-01,0.00204205530106516,207.0,0.03326543554891259,0.12,99.51752,6.7
2014-04-01,0.0018641856050976013,208.3,1.8651871542641363,0.12,99.591,6.2
2014-05-01,0.0019030059035471947,208.0,1.8651871542641363,0.11,99.5773,6.3
2014-06-01,0.001321132206079767,208.3,1.8651871542641363,0.11,99.55072,6.1
2014-07-01,0.001125485286492811,208.0,1.6309608101328976,0.13,99.54248,6.2
2014-08-01,-0.00016000134737970129,207.0,1.6309608101328976,0.13,99.63799,6.1
2014-09-01,7.159100480080838e-05,206.4,1.6309608101328976,0.12,99.84365,5.9
2014-10-01,-0.00019791390324119806,203.4,0.605760609221595,0.12,100.1328,5.7
2014-11-01,-0.0018826601524659647,200.9,0.605760609221595,0.13,100.4875,5.8
2014-12-01,-0.0030846094445592387,197.0,0.605760609221595,0.15,100.8809,5.6
2015-01-01,-0.0063703164417655556,192.0,0.8455188255924728,0.16,101.1459,5.7
2015-02-01,0.0025346436802173855,191.1,0.8455188255924728,0.15,101.1482,5.5
2015-03-01,0.0026939517808124425,191.5,0.8455188255924728,0.14,101.0514,5.4
2015-04-01,0.0010424788961589382,190.9,1.1971913129488865,0.13,100.9965,5.4
2015-05-01,0.003297745341246827,193.4,1.1971913129488865,0.15,100.9159,5.6
2015-06-01,0.0027679208104607333,194.8,1.1971913129488865,0.18,100.93,5.3
2015-07-01,0.0015863197801873063,193.9,0.6665396046255267,0.19,100.815,5.2
2015-08-01,-4.20108051790713e-06,191.9,0.6665396046255267,0.26,100.625,5.1
2015-09-01,-0.002247587519377592,189.1,0.6665396046255267,0.27,100.4538,5.0
2015-10-01,0.0009894820166906904,187.5,0.1821089071150528,0.25,100.4831,5.0
2015-11-01,0.0011946174910508756,185.7,0.1821089071150528,0.3,100.5999,5.1
2015-12-01,-0.0010755534268560574,183.5,0.1821089071150528,0.54,100.6973,5.0
2016-01-01,-0.0004584435630738959,182.6,0.49251600354258684,0.57,100.7104,4.8
2016-02-01,-0.0013296753235823022,181.3,0.49251600354258684,0.54,100.673,4.9
2016-03-01,0.0031347962382444194,182.1,0.49251600354258684,0.55,100.633,5.0
2016-04-01,0.0038306451612901693,183.2,1.002751116502476,0.55,100.6551,5.1
2016-05-01,0.0023640958693178504,185.3,1.002751116502476,0.57,100.7778,4.8
2016-06-01,0.002775957287827202,187.6,1.002751116502476,0.55,100.7557,4.9
2016-07-01,-0.0005037007434789409,187.7,0.9669724325451323,0.62,100.6087,4.8
2016-08-01,0.0018492217858316895,186.6,0.9669724325451323,0.73,100.5024,4.9
2016-09-01,0.0026232097944252075,186.9,0.9669724325451323,0.75,100.4832,5.0
2016-10-01,0.0023426874979268764,186.7,1.0413579595735856,0.72,100.5603,4.9
2016-11-01,0.0011789477167711837,186.3,1.0413579595735856,0.71,100.8904,4.7
2016-12-01,0.002524522158776188,188.2,1.0413579595735856,0.87,101.2288,4.7
2017-01-01,0.004043076694815628,190.7,0.9990110207356517,0.9,101.3774,4.7
2017-02-01,0.0015926573570097524,191.6,0.9990110207356517,0.87,101.365,4.6
2017-03-01,-0.00046720162618951733,191.5,0.9990110207356517,0.98,101.3344,4.4
2017-04-01,0.001234152821740775,193.0,0.8223978692209144,1.03,101.2947,4.4
2017-05-01,-0.0007739779600562935,192.8,0.8223978692209144,1.05,101.2233,4.4
2017-06-01,0.0006516286618252209,193.6,0.8223978692209144,1.16,101.1172,4.3
2017-07-01,0.0003276499715354486,193.5,1.3064286431928362,1.22,101.0761,4.3
2017-08-01,0.0038486261632881824,193.8,1.3064286431928362,1.25,101.1728,4.4
2017-09-01,0.005106389920997767,194.8,1.3064286431928362,1.25,101.2939,4.3
2017-10-01,0.0007750522450138408,194.9,1.7493529928381601,1.26,101.4439,4.2
2017-11-01,0.002668007428251684,195.9,1.7493529928381601,1.32,101.4238,4.2
2017-12-01,0.0021068892447551058,196.3,1.7493529928381601,1.54,101.341,4.1
2018-01-01,0.004253344363511546,197.9,1.4546275386922547,1.63,101.3704,4.0
2018-02-01,0.0026922876006090224,199.3,1.4546275386922547,1.78,101.5302,4.1
2018-03-01,0.000192362410782021,199.3,1.4546275386922547,2.08,101.6295,4.0
2018-04-01,0.002604406656061986,200.3,1.241401687567234,2.2,101.5796,4.0
2018-05-01,0.002257949781598212,203.2,1.241401687567234,2.16,101.4953,3.8
2018-06-01,0.0009011451720948305,204.2,1.241401687567234,2.19,101.4384,4.0
2018-07-01,0.0007808204989283585,204.3,1.0583496008340187,2.17,101.4075,3.8
2018-08-01,0.0017873207703393845,203.4,1.0583496008340187,2.19,101.4186,3.8
2018-09-01,0.002062281702117419,203.6,1.0583496008340187,2.24,101.5003,3.7
2018-10-01,0.002339580144498754,204.6,0.5728090128579888,2.37,101.4828,3.8
2018-11-01,-0.0007041919199911595,202.3,0.5728090128579888,2.56,101.3758,3.8
2018-12-01,0.0006848935445813442,201.0,0.5728090128579888,2.69,101.2088,3.9
2019-01-01,-0.0008149798035343991,199.1,0.9261603967555487,2.59,101.0089,4.0
2019-02-01,0.003001255142321968,199.2,0.9261603967555487,2.49,101.0619,3.8
2019-03-01,0.0037817929172307974,200.8,0.9261603967555487,2.48,101.2753,3.8
2019-04-01,0.0037596794047436433,202.1,1.3563064855340201,2.47,101.4318,3.7
2019-05-01,0.0002468332856644384,201.7,1.3563064855340201,2.44,101.5178,3.6
2019-06-01,-0.0003251128102280676,200.3,1.3563064855340201,2.3,101.426,3.6
2019-07-01,0.0023078761661827762,200.7,1.4918867416103376,2.22,101.1991,3.7
2019-08-01,0.0009147700174354512,199.2,1.4918867416103376,2.06,100.9093,3.6
